THREADS,CPUTIME,HOST2GPU,GPUTIME,GPU2HOST
0.000000,0.284349,0.000000,0.000000,0.000000
32768.000000,0.000000,0.189841,0.004767,0.019223
16384.000000,0.000000,0.154689,0.009638,0.019253
8192.000000,0.000000,0.162120,0.019894,0.019222
4096.000000,0.000000,0.161141,0.039573,0.019263
2048.000000,0.000000,0.140550,0.125335,0.019216
1024.000000,0.000000,0.161353,0.178408,0.019243
512.000000,0.000000,0.160719,0.195376,0.019297
256.000000,0.000000,0.155592,0.321605,0.019344
128.000000,0.000000,0.177897,0.290207,0.019140
64.000000,0.000000,0.157833,0.316704,0.019435
32.000000,0.000000,0.156465,0.213660,0.019146
16.000000,0.000000,0.155442,0.103025,0.019237
8.000000,0.000000,0.161256,0.206945,0.019219
4.000000,0.000000,0.160286,0.411228,0.019267
